Heart_Rate,Time
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
935,20:08:11
861,20:08:11
797,20:08:11
744,20:08:11
701,20:08:11
675,20:08:11
669,20:08:11
675,20:08:11
691,20:08:11
715,20:08:11
743,20:08:11
773,20:08:11
791,20:08:11
795,20:08:11
793,20:08:11
787,20:08:11
775,20:08:11
755,20:08:11
735,20:08:11
714,20:08:11
694,20:08:11
676,20:08:11
665,20:08:11
661,20:08:11
654,20:08:11
649,20:08:11
649,20:08:11
653,20:08:11
659,20:08:11
668,20:08:11
674,20:08:11
677,20:08:11
685,20:08:11
707,20:08:11
755,20:08:11
832,20:08:11
934,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
928,20:08:11
837,20:08:11
756,20:08:11
697,20:08:11
653,20:08:11
628,20:08:11
621,20:08:11
625,20:08:11
642,20:08:11
669,20:08:11
698,20:08:11
723,20:08:11
741,20:08:11
752,20:08:11
756,20:08:11
758,20:08:11
749,20:08:11
732,20:08:11
714,20:08:11
695,20:08:11
679,20:08:11
666,20:08:11
655,20:08:11
645,20:08:11
641,20:08:11
643,20:08:11
645,20:08:11
648,20:08:11
652,20:08:11
655,20:08:11
658,20:08:11
658,20:08:11
654,20:08:11
658,20:08:11
667,20:08:11
694,20:08:11
755,20:08:11
849,20:08:11
974,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
970,20:08:11
871,20:08:11
783,20:08:11
715,20:08:11
663,20:08:11
625,20:08:11
607,20:08:11
615,20:08:11
637,20:08:11
668,20:08:11
705,20:08:11
742,20:08:11
770,20:08:11
788,20:08:11
793,20:08:11
784,20:08:11
766,20:08:11
744,20:08:11
721,20:08:11
701,20:08:11
683,20:08:11
661,20:08:11
640,20:08:11
623,20:08:11
611,20:08:11
603,20:08:11
602,20:08:11
600,20:08:11
602,20:08:11
605,20:08:11
607,20:08:11
607,20:08:11
604,20:08:11
602,20:08:11
605,20:08:11
620,20:08:11
659,20:08:11
726,20:08:11
824,20:08:11
955,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
1023,20:08:11
941,20:08:11
848,20:08:11
766,20:08:11
702,20:08:11
654,20:08:11
630,20:08:11
625,20:08:11
637,20:08:11
658,20:08:11
683,20:08:11
704,20:08:11
717,20:08:11
723,20:08:11
724,20:08:11
723,20:08:11
719,20:08:11
709,20:08:11
